"Type","Title","Url","ListId","ItemId","HasUniquePermissions"
"File","FI MAPS to ORB Conversion Tracker.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/FI/FI MAPS to ORB Conversion Tracker.xlsx","924d1750-32e9-4cfb-a49a-c066d5732b7c","8","True"
"File","05-2022 AIS SOC Final B1.0.0 WP2020 Audit23.cwp","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Gen/Release/05-2022 AIS SOC Final B1.0.0 WP2020 Audit23.cwp","198e284a-8d0d-4bb9-8e0f-ad8813d5dfb8","499","True"
"File","3315 GOV Significant Accounts by Opinion Unit.rtf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Gov/Redlines/3315 GOV Significant Accounts by Opinion Unit.rtf","3fb2c3e4-d66c-46cd-b186-65d3f4329b11","380","True"
"File","9062 HC Financial Statement Review Procedures.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/HC/Redlines/9062 HC Financial Statement Review Procedures.docx","2594fefa-6a49-403a-8549-4f9a88379edc","21","True"
"File","2_.000","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Lists/Links/2_.000","56c104a3-58f0-4808-8bfc-820dbc07c8a1","2","True"
"File","4_.000","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Lists/Links/4_.000","56c104a3-58f0-4808-8bfc-820dbc07c8a1","4","True"
"List/Library","QA Doc Library","/sites/IWS_AS_AuditWPsAdmin/WPsContent/QA Doc Library","b9ac47e3-2fd6-43ff-a2ef-d1ad000428ea",,"True"
"File","CoA RSM US - FI.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Luca WP Documents/CoA RSM US - FI.xlsx","b2600f6a-7149-48a7-a4b6-1b132901f579","96","True"
"File","Terminal Server Setup and Operations Instructions.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/Outdated Instructions/Terminal Server Setup and Operations Instructions.pdf","2e9942a7-a8fc-4cf3-9811-f6e4f45974de","68","True"
"File","Terminal Server Setup and Operations Instructions - Updated for 11-2020 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/UAT for 11-20-2020 Release/Terminal Server Setup and Operations Instructions - Updated for 11-2020 Release.pdf","2e9942a7-a8fc-4cf3-9811-f6e4f45974de","96","True"
"File","Terminal Server Setup and Operations Instructions - Updated for 05-2021 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/Terminal Server Setup and Operations Instructions - Updated for 05-2021 Release.pdf","2e9942a7-a8fc-4cf3-9811-f6e4f45974de","165","True"
"File","Terminal Server Setup and Operations Instructions - Updated for 07-2021 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/Terminal Server Setup and Operations Instructions - Updated for 07-2021 Release.pdf","2e9942a7-a8fc-4cf3-9811-f6e4f45974de","177","True"
"File","08.02.21 - UAT Kickoff Recording.mp4","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/08.02.21 - UAT Kickoff Recording.mp4","2e9942a7-a8fc-4cf3-9811-f6e4f45974de","181","True"
"File","UAT Information and Links - Updated for 12-2021 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/UAT Information and Links - Updated for 12-2021 Release.pdf","2e9942a7-a8fc-4cf3-9811-f6e4f45974de","274","True"
"File","04.04.22 - UAT Kickoff Recording.mp4","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/04.04.22 - UAT Kickoff Recording.mp4","2e9942a7-a8fc-4cf3-9811-f6e4f45974de","293","True"
"File","Terminal Server Setup and Operations Instructions - Updated for 08-2022 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/Terminal Server Setup and Operations Instructions - Updated for 08-2022 Release.pdf","2e9942a7-a8fc-4cf3-9811-f6e4f45974de","312","True"
"File","UAT Engagement List.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT Engagement List.xlsx","2e9942a7-a8fc-4cf3-9811-f6e4f45974de","340","True"
